Image,Downsampling,Upsampling,Original Width,Original Height,Downsampled Width,Downsampled Height,MSE,PSNR (dB)
Colorful Image,Max,Nearest Neighbor,2048,1260,1024,630,147.75399486400462,26.43541129020615
Colorful Image,Max,Bilinear,2048,1260,1024,630,116.31756339905753,27.474350647861264
Colorful Image,Max,Bicubic,2048,1260,1024,630,109.00080618076224,27.7565065083039
Colorful Image,Average,Nearest Neighbor,2048,1260,1024,630,55.859538018766536,30.659830212811215
Colorful Image,Average,Bilinear,2048,1260,1024,630,39.32360555658895,32.18427029695056
Colorful Image,Average,Bicubic,2048,1260,1024,630,25.72267872643849,34.02764167395918
Colorful Image,Median,Nearest Neighbor,2048,1260,1024,630,57.53762039103836,30.531284642522767
Colorful Image,Median,Bilinear,2048,1260,1024,630,38.26936513103505,32.30229103304379
Colorful Image,Median,Bicubic,2048,1260,1024,630,25.617196800595238,34.04548756171163
Staircase Image,Max,Nearest Neighbor,688,1044,344,522,284.3952601985506,23.591580068086632
Staircase Image,Max,Bilinear,688,1044,344,522,266.2468113286703,23.87795945663015
Staircase Image,Max,Bicubic,688,1044,344,522,253.68408346698743,24.0878714110106
Staircase Image,Average,Nearest Neighbor,688,1044,344,522,114.18686746339363,27.55464201933037
Staircase Image,Average,Bilinear,688,1044,344,522,110.9655418374469,27.678922227403
Staircase Image,Average,Bicubic,688,1044,344,522,89.99539775089845,28.588600601229693
Staircase Image,Median,Nearest Neighbor,688,1044,344,522,116.84138738528023,27.45483655683531
Staircase Image,Median,Bilinear,688,1044,344,522,109.2215813322344,27.74771900819165
Staircase Image,Median,Bicubic,688,1044,344,522,89.55117931182987,28.61009051361277
Batik Image,Max,Nearest Neighbor,626,590,313,295,2272.589701449432,14.565593265863745
Batik Image,Max,Bilinear,626,590,313,295,2013.9802990920741,15.0902514293107
Batik Image,Max,Bicubic,626,590,313,295,1996.7424541073267,15.127583090032868
Batik Image,Average,Nearest Neighbor,626,590,313,295,858.0026506741756,18.795917313276085
Batik Image,Average,Bilinear,626,590,313,295,859.8699590260104,18.78647584447298
Batik Image,Average,Bicubic,626,590,313,295,725.4841347629105,19.52452441351579
Batik Image,Median,Nearest Neighbor,626,590,313,295,924.080799083049,18.473704144727453
Batik Image,Median,Bilinear,626,590,313,295,859.5455903323045,18.788114442373324
Batik Image,Median,Bicubic,626,590,313,295,749.0414460027797,19.38574512097265
